City,HurricaneName,SizeRank,before,after,percent,increase
Roosevelt Gardens,charley,13289,42159.07499,52046.60268,23.452904724179298,0
Highland City,charley,13370,47575.43468,52236.89002,9.798029952545251,0
Hypoluxo,charley,13526,110997.1651,134893.7737,21.52902605978357,0
Virginia Gardens,charley,13546,136359.1152,167144.8215,22.576933162734388,0
Waldo,charley,13720,16960.83342,19785.96346,16.656787847869804,0
Tierra Verde,charley,13838,193257.3761,230574.6224,19.30961035127083,0
Mascotte,charley,13881,49267.8651,57412.57061,16.531476436960528,0
Washington Park,charley,13884,55749.91771,66715.64025,19.669486504072538,0
Hillsboro Beach,charley,14217,157758.4241,195761.59,24.089468512889383,1
Belleair Bluffs,charley,14619,85755.66792,105159.872,22.627313798199143,0
Daytona Beach Shores,charley,14765,115293.741,143733.251,24.66700252184548,1
Asbury Lake,charley,14855,147748.1864,176507.125,19.464833579845546,0
Schall Circle,charley,14924,60684.33327,73754.75952,21.538386508831465,0
Bryceville,charley,14999,70026.59299,83265.80381,18.905975936728193,0
El Portal,charley,15010,139515.9557,182754.2291,30.991633310368393,1
Boulevard Gardens,charley,15187,48503.15305,59338.86122,22.3402139626467,0
Redington Shores,charley,15265,200109.3274,244767.8337,22.317053822649537,0
Hampton,charley,15390,38468.45883,48227.98898,25.37021353813357,1
Ocean Ridge,charley,15850,139043.9594,166820.6438,19.976908396352815,0
Sewalls Point,charley,15855,391940.8311,484195.3744,23.537875102495278,0
Indialantic,charley,15917,185360.3506,242119.5613,30.62100957204383,1
Sopchoppy,charley,15940,35066.36223,43511.26726,24.082637869904882,1
South Palm Beach,charley,15952,128943.6805,166935.4608,29.463855966171216,1
Yalaha,charley,16596,75408.11578,90216.33659,19.637436444112165,0
Lake Hamilton,charley,16787,38619.67588,43932.24664,13.75612466688572,0
Panacea,charley,16951,56870.19809,72889.23075,28.1677103263278,1
