City,HurricaneName,SizeRank,before,after,percent,increase
Bowling Green,charley,6757,150188.2643,178197.5897,18.64947672878859,0
Myakka City,charley,6769,427264.3662,499665.9807,16.945390308095398,0
Springfield,charley,6853,138356.7838,170916.8418,23.53340190898539,1
Sky Lake,charley,6858,164586.9183,187150.0365,13.708937765559948,0
West Miami,charley,6945,434954.7208,533799.262,22.72524850821207,1
Lawtey,charley,7133,190942.2406,226255.7003,18.494315133746266,0
Melrose,charley,7155,234143.922,270745.5104,15.632089907505708,0
Port Saint Joe,charley,7199,321949.5977,410334.2337,27.452941898799583,1
Pembroke Park,charley,7250,164767.1583,192421.215,16.783718906924904,0
Flagler Beach,charley,7317,387487.3102,488820.9272,26.15146724358458,1
Treasure Island,charley,7390,526043.0424,648384.5701,23.256942462699126,1
Osprey,charley,7392,619506.7175,741529.1338,19.69670591989988,0
De Leon Springs,charley,7399,231236.2731,265543.6131,14.836487173949365,0
Moore Haven,charley,7404,141821.6556,175599.0952,23.816841974590524,1
Mayo,charley,7407,175288.1424,210701.9425,20.20319207855328,0
Freeport,charley,7417,347408.7488,436446.4098,25.62907851559552,1
South Bay,charley,7430,171745.0861,178151.6067,3.730249723866783,0
Jay,charley,7524,198355.3561,201962.0269,1.8182875778669192,0
Morriston,charley,7619,246799.2533,287385.7083,16.445128766522078,0
Lauderdale-by-the-Sea,charley,7661,599457.0927,731193.5392,21.97595926451534,1
Norland,charley,7843,175211.3859,211270.4306,20.580309044858712,0
Siesta Key,charley,7855,820853.9626,974403.1911,18.70603487295635,0
Miramar Beach,charley,7864,596201.6866,702497.3076,17.82880246551787,0
Fort Myers Beach,charley,7964,610057.7899,704776.5243,15.526190463943795,0
Hastings,charley,8016,172121.7056,210036.4908,22.027893035240766,1
Micco,charley,8017,188657.6375,255793.1061,35.58587369673808,1
Neptune Beach,charley,8049,438892.7838,520179.1763,18.520785827511258,0
Gotha,charley,8086,415327.6694,482574.1516,16.19118762232892,0
Lake Helen,charley,8096,207564.1867,245737.7651,18.39121623383597,0
Surfside,charley,8183,706562.4531,869434.5763,23.05134139033405,1
Geneva,charley,8206,403072.6545,462494.3935,14.742190604249982,0
Century,charley,8211,127130.1395,147574.5776,16.081503709826407,0
Ponce Inlet,charley,8256,475204.6519,566063.562,19.119953842354217,0
Pahokee,charley,8291,173457.6551,200493.0041,15.586137714368299,0
Palm Springs North,charley,8322,414106.382,517437.0801,24.95269394326795,1
San Antonio,charley,8388,241944.3217,295106.146,21.97275138613018,1
Bronson,charley,8388,199210.2581,231183.3327,16.049913746886507,0
Pierson,charley,8443,233558.2271,256062.688,9.635481986410406,0
South Highpoint,charley,8915,200897.5416,229160.7399,14.068463991597191,0
Dundee,charley,8927,151489.7404,172309.8574,13.743582202349591,0
Elkton,charley,8941,263801.5921,308052.3859,16.77427093890537,0
Saint Augustine Beach,charley,9005,418519.475,478668.8559,14.371943121643277,0
Timber Pines,charley,9008,255362.9809,294601.1538,15.36564648552784,0
Eatonville,charley,9012,138453.9976,156228.8874,12.838119597927742,0
Bay Harbor Islands,charley,9020,601897.3899,729597.0192,21.216179276207896,0
South Pasadena,charley,9089,300077.0735,359912.0141,19.939857417997636,0
Weirsdale,charley,9112,231242.6256,278329.7538,20.362650734406817,0
Grant-Valkaria,charley,9234,386237.27,516307.5315,33.67625850814448,1
Howey in the Hills,charley,9369,288010.2773,340847.9181,18.345748386250378,0
Sanibel,charley,9469,1006141.118,1135022.595,12.809483152441839,0
Lake Panasoffkee,charley,9483,142747.4412,160569.8534,12.48527612836817,0
Belleair,charley,9493,709481.2199,834368.852,17.60266918941175,0
Indian River Shores,charley,9497,1441822.432,1678718.668,16.430333634870237,0
Micanopy,charley,9686,231442.3891,281881.0131,21.79316597799499,0
Molino,charley,9718,226877.4135,259426.7133,14.346646190058054,0
Grand Island,charley,9764,236970.8633,278673.1303,17.598056748101495,0
Christmas,charley,9790,330110.0694,391204.6963,18.50735029411376,0
